TenDonVi,DiaChi,LienCap,TenMien
THPT Bùi Thị Xuân,73 - 75 Bùi Thị Xuân,Không,http://thptbuithixuan.hcm.edu.vn
THPT Trưng Vương,3 Nguyễn Bĩnh Khiêm,Không,http://thpttrungvuong.hcm.edu.vn
THPT Ten Lơ Man,8 Trần Hưng Đạo,Không,http://thpttenloman.hcm.edu.vn
THPT Lương Thế Vinh,"Số 131 Cô Bắc Phường Cô Giang, Quận 1",Có,http://thptluongthevinh.hcm.edu.vn/
THPT Năng Khiếu TDTT,"43 Điện Biên Phủ, P. Đa Khao, Quận 1, Thành Phố Hồ Chí Minh",Có,http://thptnangkhieutdtt.hcm.edu.vn
THPT Chuyên Trần Đại Nghĩa,,Có,http://trandainghia.edu.vn/
THPT Thủ Thiêm,"1 Đường Vũ Tông Phan, Phường An Phú, Quận 2",Không,http://thptthuthiem.hcm.edu.vn
THPT Giồng Ông Tố,200/10 Nguyễn Thị Định P.Bình Trưng Tây Q.2 Tp.HCM,Không,http://thptgiongongto.hcm.edu.vn
THPT Nguyễn Thị Minh Khai,"275 Điện Biên Phủ, Phường 7, Quận 3, Tp. Hồ Chí Minh, Việt Nam",Không,http://thptnguyenthiminhkhai.hcm.edu.vn
THPT Lê Quí Đôn,110 Nguyễn Thị Minh Khai,Không,http://www.thpt-lequydon-hcm.edu.vn/
THPT Marie Curie,159 Nam Kỳ Khởi Nghĩa,Không,http://mariecurie.edu.vn/
THPT Lê Thị Hồng Gấm,147 Pasteur,Không,http://thptlethihonggam.hcm.edu.vn
THPT Nguyễn Thị Diệu,12 Trần Quốc Toản,Không,http://thptnguyenthidieu.hcm.edu.vn
THPT Nguyễn Trãi,"364 Nguyễn Tất Thành, Phường 18, Quận 4",Không,http://thptnguyentrai.hcm.edu.vn
THPT Nguyễn Hữu Thọ,2 Bến Vân Đồn phường 12 quận 4 Tp. Hồ Chí Minh,Không,http://thptnguyenhuutho.hcm.edu.vn
THPT Chuyên Lê Hồng Phong,235 Nguyễn Văn Cừ ,Không,http://www.thpt-lehongphong-tphcm.edu.vn/
THPT Hùng Vương,124 Hùng Vương,Không,http://thpthungvuong.hcm.edu.vn
TH Thực Hành ĐHSP,280 An Dương Vương,Không,http://trunghocthuchanhdhsp.edu.vn/
PT Năng Khiếu Đại Học Quốc Gia,153 Nguyễn Chí Thanh,Không,http://www.ptnk.edu.vn/
THPT Trần Khai Nguyên,225 Nguyễn Tri Phương,Không,http://thpttrankhainguyen.hcm.edu.vn
Trung Học Thực Hành Sài Gòn,,Không,http://thuchanhsaigon.edu.vn/
THPT Trần Hữu Trang,276 Trần Hưng Đạo P.11 Q.5,Không,http://thpttranhuutrang.hcm.edu.vn
THPT Mạc Đĩnh Chi,04 Tân Hòa Đông,Không,http://thpt-macdinhchi-tphcm.edu.vn/
THPT Bình Phú,102 Đường Trần Văn Kiểu,Không,http://thptbinhphu.hcm.edu.vn
THPT Nguyễn Tất Thành,249C Nguyễn Văn Luông,Không,http://thpt-nguyentatthanh-tphcm.edu.vn/
THPT Tân Phong,19F Nguyễn Văn Linh,Không,http://thpttanphong.hcm.edu.vn
THPT Lê Thánh Tôn,124 đường 17,Không,http://thptlethanhton.hcm.edu.vn
THPT Nam Sài Gòn,Khu A - Đô thị mới Nam Sài Gòn - Phường Tân Phú - Quận 7 - Tp.HCM,Không,http://thptnamsaigon.hcm.edu.vn
THPT Ngô Quyền,,Không,http://thptngoquyenhcm.edu.vn/
THPT Võ Văn Kiệt,None,Không,http://thptvovankiet.hcm.edu.vn
THPT Nguyễn Văn Linh,Lô F Khu Dân cư,Không,http://thptnguyenvanlinh.hcm.edu.vn
THPT Lương Văn Can,173 Phạm Hùng,Không,http://thptluongvancan.hcm.edu.vn
THPT Ngô Gia Tự,"360E Bến Bình Đông, Phường 15, Quận 8, TPHCM",Không,http://thptngogiatu.hcm.edu.vn
THPT Tạ Quang Bửu,909 Tạ Quang Bửu - P5 - Q8 - Tp HCM,Không,http://thpttaquangbuu.hcm.edu.vn
THPT Năng khiếu TDTT Nguyễn Thị Định,,Có,http://thptnknguyenthidinh.edu.vn/
THPT Phước Long,"Khu phố 6, Phước Long B, Q9",Không,http://thptphuoclong.hcm.edu.vn
THPT Long Trường,309 Võ Văn Hát,Không,http://thptlongtruong.edu.vn/
THPT Nguyễn Huệ,Ấp Châu Phúc Cẩm,Không,http://thpt-nguyenhue.e-school.edu.vn/
THPT Nguyễn Văn Tăng,"Đường số 1, KP Tái Định Cư, Long Bửu",Không,http://thptnguyenvantang.edu.vn/
THPT Nguyễn An Ninh,93 Trần Nhân Tôn,Không,http://www.thptnan.com/
THPT Nguyễn Khuyến,50 Thành Thái,Không,http://thptnguyenkhuyen.hcm.edu.vn
THPT Nguyễn Du,XXI Đồng Nai - Cư Xá Bắc Hải - Phường 15 - Quận 10 - TP. Hồ Chí Minh,Không,http://thptnguyendu.hcm.edu.vn
THPT SƯƠNG NGUYỆT ANH,249 Hòa Hảo P.3 Q.10 Tp.HCM,Có,http://thptsuongnguyetanh.hcm.edu.vn
THPT Diên Hồng,Số 11 - Thành Thái - P.11 - Q.10,Có,http://thptdienhong.hcm.edu.vn
THPT Nguyễn Hiền,"3 Dương Đình Nghệ, Phường 8, Quận 11, TPHCM",Không,http://thptnguyenhien.hcm.edu.vn/
THPT Nam Kỳ Khởi Nghĩa,269/8 Nguyễn Thị Nhỏ,Không,http://thptnamkykhoinghia.hcm.edu.vn
THPT Trần Quang Khải,343D Lạc Long Quân,Không,http://thpttranquangkhai.hcm.edu.vn
THPT Thạnh Lộc,đường TL30 - KP1,Không,http://thpt-thanhloc-tphcm.edu.vn/
THPT Trường Chinh,"1, đường DN11, P.Tân Hưng Thuận, Q12, HCM",Không,http://thpttruongchinh.hcm.edu.vn
THPT Võ Trường Toản,"Đường HT 27, Khu Phố 1, Phường Hiệp Thành, Quận 12",Không,http://votruongtoanq12hcm.edu.vn/
THPT Trần Văn Giàu,203/40 Đường Trục,Không,http://thpttranvangiau.hcm.edu.vn
THPT Hoàng Hoa Thám,"6 Hoàng Hoa Thám, phường 7, quận Bình Thạnh",Không,http://thpthoanghoatham.hcm.edu.vn/
THPT Thanh Đa,"Cạnh lô G c/x Thanh Đa, phường 27, quận Bình Thạnh",Không,http://www.thptthanhda.edu.vn/
THPT Võ Thị Sáu,95 Đinh Tiên Hoàng,Không,http://thptvothisau.hcm.edu.vn
THPT Gia Định,195/29 Xô Viết Nghệ Tĩnh,Không,http://thptgiadinh.hcm.edu.vn
THPT Phan Đăng Lưu,27 Nguyễn Văn Đậu,Không,http://thptphandangluu.hcm.edu.vn
THPT Gò Vấp,90A Nguyễn Thái Sơn,Không,http://thptgovap.hcm.edu.vn
THPT Nguyễn Công Trứ,97 Quang Trung,Không,http://thptnguyencongtru.hcm.edu.vn
THPT Nguyễn Trung Trực ,9/168 Lê Đức Thọ ,Không,#
THPT Trần Hưng Đạo,88/955E Lê Đức Thọ,Không,http://thpttranhungdao.hcm.edu.vn
THPT Phú Nhuận,Số 5 Hoàng Minh Giám,Không,http://www.truongphunhuan.edu.vn/
THPT Quốc Tế Việt Úc,184/7 Lê Văn Sỹ,Không,http://sic.edu.vn/
THPT Hàn Thuyên," 37 Đặng Văn Ngữ, Phường 10, Quận Phú Nhuận, TP.HCM ",Không,http://thpthanthuyen.hcm.edu.vn
THPT Nguyễn Chí Thanh,189 / 4 Hoàng Hoa Thám,Không,http://thptnguyenchithanh.hcm.edu.vn
THPT Nguyễn Thượng Hiền,544 Cách Mạng Tháng 8,Không,http://thptnguyenthuonghien.hcm.edu.vn
THPT Nguyễn Thái Bình,"913-915 Lý Thường Kiệt, Phường 9, Quận Tân Bình, Tp. Hồ Chí Minh",Không,http://thptnguyenthaibinh.hcm.edu.vn
THPT Lý Tự Trọng ,390 Hoàng Văn Thụ,Không,http://thptlytutrong.hcm.edu.vn
THPT Đào Sơn Tây,"53/5 Đường Số 10, Linh Xuân, Hồ Chí Minh",Không,http://thptdaosontay.hcm.edu.vn
THPT Thủ Đức,166/24 Đặng văn Bi,Không,http://thptthuduc.hcm.edu.vn
THPT Nguyễn Hữu Huân,11 Đoàn Kết,Không,#
THPT Tam Phú,"31 Phú Châu, KP5, P. Tam Phú Q. Thủ Đức",Không,http://thpttamphu.hcm.edu.vn/
THPT Hiệp Bình,"63 Đường Hiệp Bình, Kp6, P.Hiệp Bình Phước, Q.Thủ Đức, Tp.Hồ Chí Minh",Không,http://thpthiepbinh.hcm.edu.vn
Trường Phổ Thông Năng Khiếu Thể Thao Olympic,None,Không,http://nkttolympic.hcm.edu.vn
THPT Linh Trung,None,Không,http://thptlinhtrung.hcm.edu.vn
Trường THPT Năng khiếu TDTT Huyện Bình Chánh,None,Không,http://thptnangkhieutdttbinhchanh.hcm.edu.vn
THPT Bình Chánh,D17/1D Huỳnh Văn Trí,Không,http://www.thptbinhchanh.edu.vn/
THPT Tân Túc,"C5/3K, Khu phố 3, Đường Bùi Thanh Khiết, TT. Tân Túc, H. Bình Chánh, Tp.HCM",Không,http://thpttantuc.hcm.edu.vn
THPT Lê Minh Xuân,G11/1 Ấp 7,Không,http://thptleminhxuan.edu.vn/
THPT ĐA PHƯỚC,D14/410A QL50 xã Đa Phước - Huyện Bình Chánh TP.HCM,Không,http://thptdaphuoc.com/
THPT Vĩnh Lộc B,"Đường số 3 Khu Dân Cư Vĩnh Lộc B, huyện Bình Chánh, TPHCM",Không,http://thptvinhlocb.hcm.edu.vn
