TenDonVi,DiaChi,LienCap,TenMien
THCS và THPT Đăng Khoa,571 Cô Bắc - P. Cầu Ông Lãnh - Q1,Có,http://thptdangkhoa.hcm.edu.vn/
THPT Châu Á Thái Bình Dương,"33 CDE NGUYỄN BỈNH KHIÊM, P. ĐAKAO, Q1, HCM",Có,http://thptchauathaibinhduong.hcm.edu.vn
"TH, THCS & THPT Quốc tế Á Châu","41/3-41/4 Trần Nhật Duật, Phường Tân Định, Quận 1, TP.HCM",Có,http://thptquocteachau.hcm.edu.vn
TH - THCS - THPT Úc Châu,,Có,http://thptucchau.hcm.edu.vn
THPT Nguyễn Bỉnh Khiêm,,Có,http://nguyenbinhkhiem.edu.vn/
TiH - THCS - THPT Tây Úc,,Có,http://waps.edu.vn/
THCS - THPT An Đông,91 Nguyễn Chí Thanh,Có,http://thptandong.hcm.edu.vn
THPT Thăng Long,114-116 Hải Thượng Lãn Ông,Không,http://www.thpt-thanglong.edu.vn/
THCS - THPT Quang Trung Nguyễn Huệ,,Có,http://qtnh.edu.vn/
TH - THCS - THPT Văn Lang,None,Có,http://thptvanlang.hcm.edu.vn
THCS và THPT Khai Trí (Ngưng hoạt động),,Có,http://thptthcsvakhaitri.hcm.edu.vn
THPT Quốc Trí,313 Nguyễn Văn Luông,Không,http://www.quoctri.edu.vn/
THPT Phú Lâm,12-24 đường số 3 chợ Phú Lâm,Không,http://thptphulam.hcm.edu.vn
THPT Phan Bội Châu,,Không,http://thpt-phanboichau.e-school.edu.vn/
THCS - THPT Đào Duy Anh,,Không,http://thptdaoduyanh.hcm.edu.vn
Trường THCS & THPT Đức Trí,"39/23 Bùi Văn Ba, P.Tân Thuận Đông, Quận 7, TPHCM",Có,http://tuthucductri.hcm.edu.vn
THCS - THPT Sao Việt,,Có,http://thptsaoviet.hcm.edu.vn
"TiH,THCS - THPT Nam Mỹ (Ngưng hoạt động)",,Có,http://thptnammy.hcm.edu.vn
THCS - THPT Hoa Sen,"26, Phan Chu Trinh, P. HIệp Phú, Q9, TP. HCM",Có,http://thpthoasen.hcm.edu.vn
TH - THCS - THPT Ngô Thời Nhiệm,,Có,http://thptngothoinhiem.hcm.edu.vn
THCS - THPT Duy Tân,,Có,http://thptduytan.hcm.edu.vn
TH - THCS - THPT Vạn Hạnh,"781E Lê Hồng Phong (nối dài) P12, Q10",Có,http://www.thptvanhanh.edu.vn/
THPT Việt Mỹ Anh,252 Lạc Long Quân,Không,http://thptvietmyanh.hcm.edu.vn
THPT Trần Nhân Tông,66 Tân Hóa - Phường 1 - Quận 11 - Thành phố Hồ Chí Minh,Không,http://thpttrannhantong.hcm.edu.vn
THPT Trần Quốc Tuấn,236/10-12 Thái Phiên,Không,http://thpttranquoctuan.hcm.edu.vn
TH - THCS - THPT Trương Vĩnh Ký,,Có,http://www.truongvinhky.edu.vn/
THCS - THPT Bạch Đằng,83/1 Phan Huy Ích,Có,http://thptbachdang.edu.vn/
THPT Việt Âu,30/2 QL 1A - Phường Tân Thới Hiệp - Quận 12 - Tp Hồ Chí Minh,Không,http://thptvietau.hcm.edu.vn
THCS – THPT Ngọc Viễn Đông,None,Có,http://ngocviendong.edu.vn/
THPT Đông Du (Ngưng hoạt động),165 Trần Quan Cơ,Không,http://www.des.edu.vn/
THCS - THPT Bắc Sơn,None,Có,http://www.bacson.edu.vn/
THCS - THPT Lạc Hồng,"2276/5 QL 1A, P.Trung Mỹ Tây, Q.12, Tp.Hồ Chí Minh, website:truonglachongtphcm.edu.vn",Có,http://thptlachong.hcm.edu.vn
THCS - THPT Hoa Lư,,Có,http://thpthoalu.edu.vn/
TiH THCS THPT Mỹ Việt,,Có,http://thptmyviet.edu.vn/
TH - THCS - THPT Lam Sơn,166/1E  Xô Viết Nghệ Tĩnh,Không,http://truongthptlamsonhcm.edu.vn/
THPT Hưng Đạo,103 Nguyễn Văn Đậu,Không,http://hungdao.edu.vn/
TH-THCS-THPT Mùa Xuân,None,Có,http://www.wellspringsaigon.edu.vn/
THPT Đông Đô,12B Nguyễn Hữu Cảnh P.19 Quận Bình Thạnh Tp.HCM,Không,http://thptdongdo.hcm.edu.vn
THPT Đông Dương,134/2 Đường 6 Kp4,Không,http://truongdongduong.com/
THPT Đào Duy Từ,48/2B - 48/2C 48/3 - 48/7B Cây Trâm,Không,http://thpt-daoduytu.edu.vn/
THPT Phùng Hưng,25/2D Quang Trung,Không,http://truongivs.com/gioi-thieu-truong-ivs/
THPT Lý Thái Tổ,1/22/2a Nguyễn Oanh,Không,http://www.thptlythaito.edu.vn/
THPT Việt Nhật,108-110-112-114-116-118 Bàu Cát,Không,http://thpttantrao.hcm.edu.vn
THPT Phạm Ngũ Lão,,Không,http://thptphamngulao.hcm.edu.vn
THCS - THPT Âu Lạc (Ngưng hoạt động),,Có,http://thptaulac.hcm.edu.vn
THPT Hermann Gmeiner,,Có,http://thpthermanngmeiner.hcm.edu.vn
TH - THCS - THPT Đại Việt (Ngưng hoạt động),,Có,http://www.daivietschool.edu.vn/
TH - THCS - THPT Nguyễn Tri Phương,,Có,http://ntp.edu.vn/
THCS - THPT Việt Mỹ,,Có,http://vass.edu.vn/
THCS-THPT Hồng Hà,170 Quang Trung - P.10 - Q.Gò Vấp - TP.Hồ Chí Minh,Có,http://thpthongha.hcm.edu.vn
THCS - THPT Việt Anh,,Có,http://truongvietanh.com/
TH - THCS - THPT Quốc Tế,,Có,http://thptquocte.hcm.edu.vn
THPT Hai Bà Trưng,51/4 Nguyễn Thị Nhỏ,Không,http://www.thpt-haibatrung-tphcm.edu.vn/
THCS - THPT Văn Hóa Việt,None,Có,http://thcs-thpthienvuong.hcm.edu.vn
THPT Vĩnh Viễn,"73/7 Lê Trọng Tấn, Phường Sơn Kỳ, Quận Tân Phú",Không,http://vinhvien.edu.vn/
THPT Thủ Khoa Huân,,Không,http://www.thukhoahuan.edu.vn/
THCS và THPT  Việt Thanh,,Có,http://vietthanh.edu.vn/
THPT Thái Bình,"Số 10 Trương Hoàng Thanh, P. 12, Q. Tân Bình, TP. Hồ Chí Minh",Không,http://thptthaibinh.hcm.edu.vn
THCS - THPT Hoàng Diệu,,Có,http://www.truonghoangdieutphcm.edu.vn/
THCS - THPT Bác Ái,,Có,http://thptbacaihcm.edu.vn/
TH - THCS - THPT Thanh Bình,,Có,http://www.thanhbinh.edu.vn/
TH -THCS -THPT Thái Bình Dương,"125 Bạch Đằng, phường 2, quận Tân Bình",Có,http://phs.edu.vn/
THPT Bách Việt,"653 Quốc lộ 13, Kp3",Không,http://truongbachviet.com/
"THCS, THPT  Bắc Mỹ",,Có,http://thptbacmy.hcm.edu.vn
"TH,THCS vàTHPT Albert Einstein",,Có,http://thptalberteinstein.hcm.edu.vn
THPT Minh Đức,277 Tân Quý,Không,http://minhduc.edu.vn/
THPT Thành Nhân,69/12 Nguyễn Cửu Đàm,Không,http://thptthanhnhan.hcm.edu.vn
THPT Trần Cao Vân,247 Tân Kỳ Tân Quý,Không,http://thpttrancaovan.edu.vn/
THPT Trần Quốc Toản,210 Lê Thúc Hoạch,Không,http://thpttranquoctoan.hcm.edu.vn
THPT Đông Á (Ngưng hoạt động),234 Tân Hương,Không,http://thptdonga.com/
THPT Nhân Việt,42/41-39 Huỳnh Thiện Lộc,Không,http://www.nhanviet.edu.vn/
"THCS,THPT Nam Việt","25, 21/1-3, 23/7-9 Dương Đức Hiền",Có,http://thptnamviet.hcm.edu.vn
THPT An Dương Vương,"51/4 Hòa Bình, Tân Thới Hoà, Tân Phú, Hồ Chí Minh, Việt Nam",Không,http://adv.edu.vn/
TH-THCS-THPT QUỐC VĂN SÀI GÒN,"300 Hoà Bình, P. Hiệp Tân, Q. Tân Phú, TP. Hồ Chí Minh",Có,http://thptquocvansaigon.hcm.edu.vn
THPT Huỳnh Thúc Kháng,,Không,http://truonghuynhthuckhang.edu.vn/
THCS - THPT Đinh Tiên Hoàng,,Có,http://thptdinhtienhoang.hcm.edu.vn
THCS - THPT Khai Minh,,Có,http://www.khaiminhhighschool.com/
THCS - THPT Tân Phú,"519 Kênh Tân Hóa, P. Hòa Thạnh, Q. Tân Phú, Tp. HCM",Có,http://tanphu.edu.vn/
THCS - THPT Nhân Văn,"17 Sơn Kỳ, Phường Sơn Kỳ, quận Tân Phú, TP Hồ Chí Minh",Có,http://thptnhanvan.hcm.edu.vn
THPT Trí Đức,,Không,http://td.edu.vn/
"THCS,THPT Hồng Đức",,Có,http://hongduc.vn/
TiH - THCS - THPT Hòa Bình,,Có,http://thpthoabinh.hcm.edu.vn
THPT Hàm Nghi,913/3 Quốc Lộ 1a,Không,http://thpthamnghi.hcm.edu.vn
THPT Ngôi Sao,,Có,http://www.ngoisao.edu.vn/
THCS - THPT Phan Châu Trinh,,Có,http://thptphanchautrinh.hcm.edu.vn
"TiH, THCS và THPT Chu Văn An",,Có,http://thptchuvanan.hcm.edu.vn
TH - THCS - THPT Ngôi Sao Nhỏ,,Có,http://ngoisaonho.edu.vn/
