tieude,dientich,giavnd,vitri,phanloai,sophong,area_m2,price_vnd,standardized_location,property_type_clean,price_per_m2,price_group,area_group,has_studio,has_balcony,has_mezzanine,has_furniture,has_new,has_window,has_elevator
Studio thang máy Nguyễn Thị Minh Khai gần Thảo Cầm Viên,40 m,8000000,Quận 1,PhongTro,1,40.0,8000000.0,Quận 1,Phòng trọ,200000.0,Trung bình (4-8.5 triệu),Vừa (25-50m²),True,False,False,False,False,False,True
Khai trương toà nhà mới Ngã 6 Phù Đổng,30 m,8500000,Quận 1,PhongTro,1,30.0,8500000.0,Quận 1,Phòng trọ,283333.3333333333,Trung bình (4-8.5 triệu),Vừa (25-50m²),False,False,False,False,True,False,False
Phòng ban công giá rẻ gần Lý Chính Thắng,28 m,5500000,Quận 1,PhongTro,1,28.0,5500000.0,Quận 1,Phòng trọ,196428.57142857142,Trung bình (4-8.5 triệu),Vừa (25-50m²),False,True,False,False,False,False,False
Phòng Studio đẹp khu Hoàng Sa,28 m,8000000,Quận 1,PhongTro,1,28.0,8000000.0,Quận 1,Phòng trọ,285714.28571428574,Trung bình (4-8.5 triệu),Vừa (25-50m²),True,False,False,False,False,False,False
Phòng ban công rẻ bờ kè Hoàng Sa,25 m,5200000,Quận 1,PhongTro,1,25.0,5200000.0,Quận 1,Phòng trọ,208000.0,Trung bình (4-8.5 triệu),Nhỏ (<25m²),False,True,False,False,False,False,False
Phòng gần sân vận động Hoa Lư,30 m,6500000,Quận 1,PhongTro,1,30.0,6500000.0,Quận 1,Phòng trọ,216666.66666666666,Trung bình (4-8.5 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng Sleepbox Trần Khắc Chân,30 m,1700000,Quận 1,PhongTro,1,30.0,1700000.0,Quận 1,Phòng trọ,56666.666666666664,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng Nguyễn Cảnh Chân,12 m,3000000,Quận 1,PhongTro,1,12.0,3000000.0,Quận 1,Phòng trọ,250000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng Huỳnh Khương Ninh,20 m,3800000,Quận 1,PhongTro,1,20.0,3800000.0,Quận 1,Phòng trọ,190000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng gần cầu Chữ Y,30 m,5600000,Quận 1,PhongTro,1,30.0,5600000.0,Quận 1,Phòng trọ,186666.66666666666,Trung bình (4-8.5 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng Cô Giang có gác,30 m,4800000,Quận 1,PhongTro,1,30.0,4800000.0,Quận 1,Phòng trọ,160000.0,Trung bình (4-8.5 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng Nguyễn Văn Cừ full nội thất,30 m,5300000,Quận 1,PhongTro,1,30.0,5300000.0,Quận 1,Phòng trọ,176666.66666666666,Trung bình (4-8.5 triệu),Vừa (25-50m²),False,False,False,True,False,False,False
Phòng Nguyễn Trãi có gác,40 m,6200000,Quận 1,PhongTro,1,40.0,6200000.0,Quận 1,Phòng trọ,155000.0,Trung bình (4-8.5 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng Nguyễn Trãi cửa sổ lớn,30 m,5700000,Quận 1,PhongTro,1,30.0,5700000.0,Quận 1,Phòng trọ,190000.0,Trung bình (4-8.5 triệu),Vừa (25-50m²),False,False,False,False,False,True,False
Phòng Cống Quỳnh gác lửng,30 m,6000000,Quận 1,PhongTro,1,30.0,6000000.0,Quận 1,Phòng trọ,200000.0,Trung bình (4-8.5 triệu),Vừa (25-50m²),False,False,True,False,False,False,False
Phòng Trương Hán Siêu,20 m,4500000,Quận 1,PhongTro,1,20.0,4500000.0,Quận 1,Phòng trọ,225000.0,Trung bình (4-8.5 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng gần công viên Q1,25 m,6300000,Quận 1,PhongTro,1,25.0,6300000.0,Quận 1,Phòng trọ,252000.0,Trung bình (4-8.5 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng Đinh Công Tráng,30 m,6200000,Quận 1,PhongTro,1,30.0,6200000.0,Quận 1,Phòng trọ,206666.66666666666,Trung bình (4-8.5 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Căn hộ dịch vụ 9 phòng Q1,40 m,24000000,Quận 1,PhongTro,1,40.0,24000000.0,Quận 1,Phòng trọ,600000.0,Cao (>8.5 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng trọ yên tĩnh Q1,15 m,2500000,Quận 1,PhongTro,1,15.0,2500000.0,Quận 1,Phòng trọ,166666.66666666666,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Căn 1PN An Khánh,35 m,6500000,Quận 2,PhongTro,1,35.0,6500000.0,Quận 2,Phòng trọ,185714.2857142857,Trung bình (4-8.5 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Studio Cát Lái,35 m,4700000,Quận 2,PhongTro,1,35.0,4700000.0,Quận 2,Phòng trọ,134285.7142857143,Trung bình (4-8.5 triệu),Vừa (25-50m²),True,False,False,False,False,False,False
Căn hộ Nguyễn Duy Trinh,32 m,4900000,Quận 2,PhongTro,1,32.0,4900000.0,Quận 2,Phòng trọ,153125.0,Trung bình (4-8.5 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Căn hộ Thảo Điền,40 m,5500000,Quận 2,PhongTro,1,40.0,5500000.0,Quận 2,Phòng trọ,137500.0,Trung bình (4-8.5 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
