feature,importance_mean,importance_std
property_type_clean,959356.2888870627,168351.60858679842
area_m2,722373.2117761072,45259.98586578375
area_group,480211.33850279433,75165.70273472938
standardized_location,422194.0485555769,154443.40171006566
sophong,100682.06502173077,19171.00438544693
has_mezzanine,1861.7099908530713,4373.890886526707
has_elevator,-247.65318413693458,265.4811579113504
has_new,-1729.0396359899082,4265.381967592287
has_window,-3360.6231875267813,9220.522109771291
has_balcony,-28137.42286023749,50899.50563504186
has_furniture,-29159.602425106896,37848.681330877684
has_studio,-30100.032005188055,36785.02302177994
