feature,importance
cat__vitri_Quận 10,0.107064284
num__area_m2,0.058991116
cat__tieude_Mặt tiền Nguyễn Thái Bình,0.04583846
cat__phanloai_PhongTro,0.04500441
cat__tieude_Căn góc 2 mặt tiền Nguyễn Trãi,0.04046794
cat__vitri_Quận 2,0.035190832
cat__vitri_Phú Nhuận,0.03499984
cat__tieude_Chung cư Tô Hiến Thành Quận 10,0.026770752
cat__tieude_Nhà nguyên căn mặt tiền Trần Bình Trọng,0.026652202
cat__vitri_Quận 3,0.025418792
cat__phanloai_NhaNguyenCan,0.023747861
cat__vitri_Bình Tân,0.019771833
cat__tieude_Nhà mặt tiền Mai Thị Lựu,0.017452791
cat__tieude_Nhà mặt tiền Nguyễn Tiểu La,0.015889697
cat__dientich_160 m,0.014856162
cat__vitri_Tân Bình,0.011144661
cat__vitri_Quận 9,0.009358881
cat__tieude_Phòng riêng trong villa tại Củ Chi,0.008737469
cat__dientich_85 m,0.0075152456
num__sophong,0.0073636724
cat__tieude_Nhà full nội thất 2 mặt tiền An Khánh,0.0073489635
cat__tieude_Căn hộ dịch vụ 9 phòng Q1,0.007214485
cat__dientich_45 m,0.007195819
cat__tieude_Nhà mặt tiền kinh doanh gần Chợ Lớn,0.0071908846
cat__tieude_Biệt thự hẻm xe hơi Lê Văn Sỹ,0.006657676
cat__standardized_location_Quận 2,0.0065369313
cat__standardized_location_Quận 12,0.006390091
cat__standardized_location_Phú Nhuận,0.0063612075
cat__tieude_Căn hộ Masteri Centre Point,0.006316067
cat__tieude_Nhà Hoa Lan 6 phòng,0.006223755
cat__vitri_Quận 5,0.006064992
cat__standardized_location_Bình Tân,0.0059382687
cat__tieude_Nhà nguyên căn mặt tiền Nguyễn Tất Thành,0.0056789606
cat__tieude_Tòa nhà mặt tiền 3/2,0.0056708236
cat__dientich_35 m,0.005533165
cat__standardized_location_Quận 1,0.0054686014
cat__tieude_Nhà nguyên căn CMT8 gần chung cư Hà Đô,0.0054027173
cat__tieude_Nhà kho nguyên căn Bình Thới,0.0054018605
cat__dientich_60 m,0.005244162
cat__standardized_location_Quận 7,0.005190612
cat__tieude_Nhà Xuân Hồng mặt tiền,0.0050778883
cat__tieude_Nhà Trường Chinh mặt tiền,0.004751654
cat__vitri_Thu Duc,0.004635218
cat__tieude_Nhà nguyên căn KDC chợ Bình Điền,0.0045961966
cat__tieude_Nhà Cát Lái 5x17 1 trệt 3 lầu,0.004449579
cat__vitri_Quận 12,0.004408211
cat__tieude_Nhà Linh Trung 3 tầng,0.0040072612
cat__standardized_location_Bình Chánh,0.003875086
cat__standardized_location_Quận 10,0.0037359474
cat__vitri_Gò Vấp,0.003670902
cat__dientich_105 m,0.0035849193
cat__tieude_Nhà Đặng Văn Ngữ,0.003578598
cat__tieude_Nhà 52m2 5PN 5WC Nguyễn Duy Trinh,0.0035048008
cat__tieude_Nhà mặt tiền kinh doanh Điện Biên Phủ,0.0033862086
cat__tieude_Nhà mặt tiền Trường Sa,0.003330834
cat__dientich_52 m,0.0033295935
cat__tieude_Nhà nguyên căn Võ Văn Kiệt,0.0033200528
cat__tieude_Nhà nguyên căn 2 mặt tiền Nguyễn Duy Trinh,0.0032971257
cat__vitri_Bình Thạnh,0.0032736002
cat__tieude_Nhà 3 phòng ngủ và đất trống,0.0032623725
cat__tieude_Nhà sát mặt tiền Lê Văn Sỹ,0.0032138638
cat__tieude_Nhà 3 tầng hẻm 8m Hà Tôn Quyền,0.003162983
cat__standardized_location_Quận 3,0.0031393478
cat__tieude_Nhà nguyên căn Nguyễn Giản Thanh,0.0030746264
num__has_studio,0.0029991511
cat__vitri_Bình Chánh,0.0027569574
cat__vitri_Quận 8,0.0027493292
cat__vitri_Quan 7,0.002742551
cat__tieude_Nhà nguyên căn mặt tiền Huỳnh Tấn Phát,0.002617686
cat__tieude_Nhà nguyên căn mặt tiền đường 32 Cát Lái,0.0025736499
cat__tieude_Nhà nguyên căn Bà Hom,0.0025513424
cat__tieude_Nhà Phùng Văn Cung,0.0024491397
cat__standardized_location_Tân Phú,0.0022548558
cat__tieude_Nhà Hoàng Văn Thụ,0.0022122483
cat__dientich_95 m,0.0021987706
cat__vitri_Hóc Môn,0.0021655685
cat__standardized_location_Quận 6,0.0021648572
cat__tieude_Căn hộ 1PN Masteri Centre Point,0.0021144715
cat__standardized_location_Thủ Đức,0.0021091981
cat__vitri_Binh Tan,0.0020642965
cat__tieude_Penthouse Co San Thuong Rieng Sieu Chill 40m2 Full Noi That Binh Thanh,0.002040562
cat__tieude_Nhà hẻm Huỳnh Mẫn Đạt,0.0020356851
cat__vitri_Quận 11,0.0019993626
cat__tieude_Nhà nguyên căn hẻm 3 gác Quận 10,0.0019765676
cat__standardized_location_Quận 5,0.0019599423
cat__tieude_Nhà mới XVNT gần Hàng Xanh,0.0019038348
cat__tieude_Nhà phố 4 tầng gần Hiệp Thành City,0.0018753965
cat__vitri_Binh Thanh,0.0018691395
cat__tieude_Căn hộ An Phú Quận 6,0.0018231422
cat__dientich_58 m,0.0017826776
cat__dientich_200 m,0.0017789404
num__has_balcony,0.0017786144
cat__tieude_Nhà 4 tầng Tỉnh lộ 10,0.0017291715
cat__vitri_Củ Chi,0.0016929248
num__has_new,0.0016669084
cat__phanloai_CanHoChungCu,0.001637844
cat__tieude_Nhà nguyên căn Hùng Vương,0.0016298092
cat__tieude_Nhà nguyên căn Trần Quang Diệu,0.0015957126
cat__dientich_120 m,0.0015844911
cat__tieude_Nhà riêng biệt trung tâm Quận 5,0.001564222
cat__standardized_location_Quận 8,0.0015137357
cat__tieude_Căn 1PN Thạnh Mỹ Lợi,0.0015055939
cat__tieude_Nhà nguyên căn Lý Thường Kiệt,0.0014764306
cat__dientich_96 m,0.0014473003
cat__dientich_65 m,0.0014331673
cat__tieude_Nhà Dương Quảng Hàm 3PN,0.0014175769
cat__tieude_Nhà cho thuê Trần Đình Xu,0.0014121989
cat__tieude_CHO THUE CAN HO MINI NGUYEN TRONG TUYEN PHU NHUAN GAN SAN BAY TAN SON NHAT GIAP TAN BINH,0.001382375
cat__tieude_Nhà mặt tiền Phạm Văn Đồng,0.0013451488
cat__tieude_Nhà góc 2 mặt tiền Lạc Long Quân,0.0013421534
cat__tieude_CAN HO CAO CAP MOI TINH NGAY TAN PHU - FULL NOI THAT - THUAN TIEN VAO TRUNG TAM,0.0013326084
cat__tieude_Nhà Hiệp Bình Phước 4PN,0.0013303636
cat__vitri_Tan Phu,0.0013069139
cat__tieude_Nhà Nguyễn Văn Nghi mới,0.0013017269
cat__vitri_Binh Chanh,0.0012862585
cat__tieude_Nhà Đoàn Thị Điểm 3 tầng,0.0012827108
cat__tieude_Nhà 4PN 3WC Quận 8,0.0012677056
cat__tieude_Nhà lầu 1 Trần Hưng Đạo,0.0012636667
cat__tieude_Phòng vừa hoàn thiện Quang Trung,0.0012464215
cat__area_group_Vừa (25-50m²),0.0012321972
cat__tieude_Nhà nguyên căn Trịnh Đình Trọng,0.0012060599
cat__tieude_Biệt thự mini Trần Não,0.0011973279
cat__tieude_Phòng siêu rộng Chu Văn An,0.0011738662
cat__dientich_50 m,0.0011599911
num__has_elevator,0.0011306658
cat__tieude_Nhà Trần Mai Ninh,0.0010878412
cat__vitri_Quan 1,0.0010839801
cat__tieude_Nhà mặt tiền KDC Bảo Châu,0.0010792055
cat__tieude_Nhà mặt bằng kinh doanh Cách Mạng Tháng Tám,0.0010584979
cat__dientich_64 m,0.0010507014
cat__tieude_Nhà gần chợ Bình Trị Đông,0.0010506888
cat__tieude_Nhà 4 tầng đường số 76,0.0010493505
cat__tieude_Studio kiểu Nhật full nội thất,0.0010458238
cat__dientich_72 m,0.001039663
cat__tieude_2 nữ ở ghép nhà nguyên căn Hóc Môn,0.0010361259
cat__tieude_Nhà gần Gigamall,0.0010344555
cat__tieude_Nhà nguyên căn Đoàn Văn Bơ,0.001034026
cat__tieude_CHO THUE CAN HO STUDIO FULL NOI THAT 3.5TR/THANG,0.0010248256
cat__tieude_Nhà đường Trần Não 3 lầu,0.0010154281
cat__tieude_Can ho 40m2 studio KDC Trung Son sat DH RMIT NTT TDTU,0.0010126524
cat__tieude_Căn hộ lầu 2 Nguyễn An Khương Q5,0.0010024422
cat__tieude_Nhà hẻm Hoàng Sa Tân Định,0.0009927595
cat__tieude_Phòng Sleepbox Trần Khắc Chân,0.0009677205
cat__tieude_Nhà nguyên căn cấp 4 Bình Thới,0.0009477174
cat__tieude_Nhà đẹp Bình Tân 3PN,0.0009419841
cat__dientich_92 m,0.0009415848
cat__tieude_Căn hộ cao cấp H2 2PN,0.00093122746
cat__vitri_Quận 7,0.0009259855
cat__tieude_Căn hộ 1PN sân lớn Tân Quy Quận 7,0.00092391274
cat__tieude_Can ho FULL NOI THAT – Ban cong cuc thoang – Tran Xuan Soan Q7 – Sat RMIT & Lotte Mart,0.00091843226
cat__tieude_Nhà nguyên căn Lò Siêu,0.0009082107
cat__tieude_Nhà kho KDC Bình Điền,0.0009043694
cat__dientich_100 m,0.0009018389
cat__tieude_Nhà nguyên căn hẻm 258 Dương Bá Trạc,0.0008935828
cat__tieude_Nhà Phạm Văn Bạch 3PN,0.0008877352
cat__tieude_CAN HO DICH VU CHO THUE STUDIO DECOR XINH GAN CAU HIM LAM,0.0008821698
cat__tieude_Nhà Trường Thọ 96m2,0.0008782649
cat__tieude_Can Ho Cao Cap Moi Xay Phan Van Tri,0.0008779152
cat__tieude_Nhà 1 trệt 1 lầu Bến Bình Đông,0.00087416236
cat__tieude_Nhà nguyên căn 2 mặt tiền kinh doanh,0.0008730012
cat__phanloai_Duplex,0.0008693934
cat__tieude_Nhà 3 tầng Đặng Thúc Liêng,0.00086881884
cat__tieude_Can ho NOI THAT HIEN DAI LUXURY MAY GIAT RIENG ngay trung tam Quan 1,0.0008561289
cat__tieude_Nhà Phan Văn Trị gần cầu đỏ,0.00082062936
